SITE_ID,LOCATION,EASTING,NORTHING,DATE_TIME,NO,NOX,NO2,PM2_5,PM10,DATE_TIME_RAW,DATE_TIME_STR
203,Brislington Depot,361178,171566,2023-01-01 00:00:00,1.0,7.0,5.0,,,2023-01-01 00:00:00,01/01/2023 00:00:00
203,Brislington Depot,361178,171566,2023-01-01 01:00:00,1.0,7.0,5.0,,,2023-01-01 01:00:00,01/01/2023 01:00:00
203,Brislington Depot,361178,171566,2023-01-01 02:00:00,2.0,9.0,6.0,,,2023-01-01 02:00:00,01/01/2023 02:00:00
203,Brislington Depot,361178,171566,2023-01-01 03:00:00,2.0,10.0,7.0,,,2023-01-01 03:00:00,01/01/2023 03:00:00
203,Brislington Depot,361178,171566,2023-01-01 04:00:00,2.0,8.0,6.0,,,2023-01-01 04:00:00,01/01/2023 04:00:00
203,Brislington Depot,361178,171566,2023-01-01 05:00:00,1.0,6.0,4.0,,,2023-01-01 05:00:00,01/01/2023 05:00:00
203,Brislington Depot,361178,171566,2023-01-01 06:00:00,1.0,4.0,3.0,,,2023-01-01 06:00:00,01/01/2023 06:00:00
203,Brislington Depot,361178,171566,2023-01-01 07:00:00,0.0,4.0,3.0,,,2023-01-01 07:00:00,01/01/2023 07:00:00
203,Brislington Depot,361178,171566,2023-01-01 08:00:00,1.0,6.0,4.0,,,2023-01-01 08:00:00,01/01/2023 08:00:00
203,Brislington Depot,361178,171566,2023-01-01 09:00:00,1.0,5.0,4.0,,,2023-01-01 09:00:00,01/01/2023 09:00:00
203,Brislington Depot,361178,171566,2023-01-01 10:00:00,1.0,7.0,5.0,,,2023-01-01 10:00:00,01/01/2023 10:00:00
203,Brislington Depot,361178,171566,2023-01-01 11:00:00,2.0,9.0,6.0,,,2023-01-01 11:00:00,01/01/2023 11:00:00
203,Brislington Depot,361178,171566,2023-01-01 12:00:00,3.0,12.0,8.0,,,2023-01-01 12:00:00,01/01/2023 12:00:00
203,Brislington Depot,361178,171566,2023-01-01 13:00:00,4.0,17.0,11.0,,,2023-01-01 13:00:00,01/01/2023 13:00:00
203,Brislington Depot,361178,171566,2023-01-01 14:00:00,7.0,28.0,17.0,,,2023-01-01 14:00:00,01/01/2023 14:00:00
203,Brislington Depot,361178,171566,2023-01-01 15:00:00,5.0,24.0,15.0,,,2023-01-01 15:00:00,01/01/2023 15:00:00
203,Brislington Depot,361178,171566,2023-01-01 16:00:00,7.0,34.0,22.0,,,2023-01-01 16:00:00,01/01/2023 16:00:00
203,Brislington Depot,361178,171566,2023-01-01 17:00:00,7.0,29.0,18.0,,,2023-01-01 17:00:00,01/01/2023 17:00:00
203,Brislington Depot,361178,171566,2023-01-01 18:00:00,5.0,25.0,18.0,,,2023-01-01 18:00:00,01/01/2023 18:00:00
203,Brislington Depot,361178,171566,2023-01-01 19:00:00,4.0,22.0,16.0,,,2023-01-01 19:00:00,01/01/2023 19:00:00
203,Brislington Depot,361178,171566,2023-01-01 20:00:00,6.0,35.0,27.0,,,2023-01-01 20:00:00,01/01/2023 20:00:00
203,Brislington Depot,361178,171566,2023-01-01 21:00:00,3.0,21.0,16.0,,,2023-01-01 21:00:00,01/01/2023 21:00:00
203,Brislington Depot,361178,171566,2023-01-01 22:00:00,2.0,11.0,9.0,,,2023-01-01 22:00:00,01/01/2023 22:00:00
203,Brislington Depot,361178,171566,2023-01-01 23:00:00,2.0,11.0,9.0,,,2023-01-01 23:00:00,01/01/2023 23:00:00
203,Brislington Depot,361178,171566,2023-01-02 00:00:00,3.0,18.0,14.0,,,2023-01-02 00:00:00,02/01/2023 00:00:00
203,Brislington Depot,361178,171566,2023-01-02 01:00:00,2.0,12.0,10.0,,,2023-01-02 01:00:00,02/01/2023 01:00:00
203,Brislington Depot,361178,171566,2023-01-02 02:00:00,0.0,6.0,5.0,,,2023-01-02 02:00:00,02/01/2023 02:00:00
203,Brislington Depot,361178,171566,2023-01-02 03:00:00,0.0,5.0,4.0,,,2023-01-02 03:00:00,02/01/2023 03:00:00
203,Brislington Depot,361178,171566,2023-01-02 04:00:00,0.0,2.0,2.0,,,2023-01-02 04:00:00,02/01/2023 04:00:00
203,Brislington Depot,361178,171566,2023-01-02 05:00:00,1.0,5.0,5.0,,,2023-01-02 05:00:00,02/01/2023 05:00:00
203,Brislington Depot,361178,171566,2023-01-02 06:00:00,1.0,7.0,6.0,,,2023-01-02 06:00:00,02/01/2023 06:00:00
203,Brislington Depot,361178,171566,2023-01-02 07:00:00,1.0,10.0,9.0,,,2023-01-02 07:00:00,02/01/2023 07:00:00
203,Brislington Depot,361178,171566,2023-01-02 08:00:00,6.0,29.0,20.0,,,2023-01-02 08:00:00,02/01/2023 08:00:00
203,Brislington Depot,361178,171566,2023-01-02 09:00:00,6.0,27.0,18.0,,,2023-01-02 09:00:00,02/01/2023 09:00:00
203,Brislington Depot,361178,171566,2023-01-02 10:00:00,13.0,47.0,27.0,,,2023-01-02 10:00:00,02/01/2023 10:00:00
203,Brislington Depot,361178,171566,2023-01-02 11:00:00,15.0,50.0,27.0,,,2023-01-02 11:00:00,02/01/2023 11:00:00
203,Brislington Depot,361178,171566,2023-01-02 12:00:00,16.0,55.0,30.0,,,2023-01-02 12:00:00,02/01/2023 12:00:00
203,Brislington Depot,361178,171566,2023-01-02 13:00:00,15.0,45.0,22.0,,,2023-01-02 13:00:00,02/01/2023 13:00:00
203,Brislington Depot,361178,171566,2023-01-02 14:00:00,12.0,39.0,21.0,,,2023-01-02 14:00:00,02/01/2023 14:00:00
203,Brislington Depot,361178,171566,2023-01-02 15:00:00,11.0,39.0,22.0,,,2023-01-02 15:00:00,02/01/2023 15:00:00
203,Brislington Depot,361178,171566,2023-01-02 16:00:00,34.0,92.0,40.0,,,2023-01-02 16:00:00,02/01/2023 16:00:00
203,Brislington Depot,361178,171566,2023-01-02 17:00:00,58.0,141.0,52.0,,,2023-01-02 17:00:00,02/01/2023 17:00:00
203,Brislington Depot,361178,171566,2023-01-02 18:00:00,60.0,151.0,59.0,,,2023-01-02 18:00:00,02/01/2023 18:00:00
203,Brislington Depot,361178,171566,2023-01-02 19:00:00,96.0,207.0,61.0,,,2023-01-02 19:00:00,02/01/2023 19:00:00
203,Brislington Depot,361178,171566,2023-01-02 20:00:00,75.0,165.0,50.0,,,2023-01-02 20:00:00,02/01/2023 20:00:00
203,Brislington Depot,361178,171566,2023-01-02 21:00:00,67.0,153.0,50.0,,,2023-01-02 21:00:00,02/01/2023 21:00:00
203,Brislington Depot,361178,171566,2023-01-02 22:00:00,30.0,91.0,45.0,,,2023-01-02 22:00:00,02/01/2023 22:00:00
203,Brislington Depot,361178,171566,2023-01-02 23:00:00,32.0,90.0,40.0,,,2023-01-02 23:00:00,02/01/2023 23:00:00
